dataset_id,folder,state,tax_year,level,filing_status,primary_name,spouse_name,dependents,total_income,agi,taxable_income,total_tax,refund,amount_owed,state_tax,effective_rate,obbba_total,medicare_surtax,is_tipped,has_car_loan,is_senior
DS_0011,Dataset_0011_IL_2025_L2,IL,2025,2,mfj,Vanessa Mitchell,Cheryl Mitchell,2,69784.52,67713.7,30351.7,4141.65,0.0,1013.65,2832.08,6.12,0,0.0,False,False,False
DS_0012,Dataset_0012_IL_2021_L3,IL,2021,3,single,Anna Macias,N/A,0,208950.14,206619.89,177785.89,42378.98,0.0,22730.98,10097.75,20.51,0,0.0,False,False,False
DS_0013,Dataset_0013_NY_2023_L1,NY,2023,1,mfj,Shelly Richmond,Leslie Richmond,0,31800.0,31800.0,4100.0,410.0,2134.0,0.0,630.0,1.29,0,0.0,False,False,False
DS_0014,Dataset_0014_NY_2021_L1,NY,2021,1,single,Alexis Steele,N/A,0,45700.0,45700.0,33150.0,3779.0,1705.0,0.0,1908.5,8.27,0,0.0,False,False,False
DS_0015,Dataset_0015_TX_2025_L2,TX,2025,2,single,John Johnson,N/A,2,149486.79,145700.85,119232.85,24634.76,0.0,9514.76,0.0,16.91,0.0,0.0,False,True,False
DS_0016,Dataset_0016_NY_2025_L1,NY,2025,1,mfj,Olivia Owen,Brett Owen,1,44000.0,32000.0,0,0.0,5280.0,0.0,1204.75,0.0,12000,0.0,False,False,True
DS_0017,Dataset_0017_FL_2023_L2,FL,2023,2,mfj,Richard Lawson,Jessica Lawson,3,225388.5,224800.64,188320.64,27221.25,1738.75,0.0,0.0,12.11,0,0.0,False,False,False
DS_0018,Dataset_0018_FL_2024_L2,FL,2024,2,single,Todd Hill,N/A,3,82455.62,81091.34,62629.34,5560.01,1819.99,0.0,0.0,6.86,0,0.0,False,False,False
DS_0019,Dataset_0019_NY_2023_L3,NY,2023,3,single,Rebekah Mercado,N/A,1,165738.89,159256.61,127055.61,34857.92,0.0,26661.92,8507.15,21.89,0,0.0,False,False,False
DS_0020,Dataset_0020_IL_2023_L3,IL,2023,3,single,Janet Davis,N/A,1,198424.04,193375.88,160429.88,39999.49,0.0,24095.49,9312.23,20.68,0,0.0,False,False,False
DS_0021,Dataset_0021_NY_2022_L3,NY,2022,3,mfj,Jared Branch,William Branch,1,268690.05,268103.45,233442.45,42993.27,0.0,10433.27,13982.96,16.04,0,122.89,False,False,False
DS_0022,Dataset_0022_TX_2025_L3,TX,2025,3,hoh,Adriana Bates,N/A,4,135210.94,131882.51,98834.51,12775.44,1016.56,0.0,0.0,9.69,0,0.0,False,False,False
DS_0023,Dataset_0023_TX_2025_L2,TX,2025,2,mfj,Yolanda Ortega,Rebecca Ortega,3,219469.97,185248.63,145405.63,16334.4,11947.6,0.0,0.0,8.82,33662.76,0.0,True,False,False
DS_0024,Dataset_0024_IL_2020_L3,IL,2020,3,mfj,Michael Gonzales,Marcus Gonzales,3,376183.33,375052.64,333364.64,66011.97,0.0,8739.97,17915.42,17.6,0,1042.91,False,False,False
DS_0025,Dataset_0025_CA_2025_L1,CA,2025,1,mfj,Brian Daniel,Derek Daniel,0,45900.0,45900.0,14400.0,1440.0,4068.0,0.0,339.43,3.14,0,0.0,False,False,False
DS_0026,Dataset_0026_CA_2023_L3,CA,2023,3,hoh,Amy Johnson,N/A,4,167490.55,164283.92,134405.92,22464.68,0.0,3648.68,9077.64,13.67,0,0.0,False,False,False
DS_0027,Dataset_0027_FL_2021_L1,FL,2021,1,single,Latasha White,N/A,0,85149.16,85149.16,72599.16,11720.32,1815.68,0.0,0.0,13.76,0,0.0,False,False,False
DS_0028,Dataset_0028_CA_2020_L2,CA,2020,2,single,Kenneth Wise,N/A,3,58354.5,56590.92,39197.92,3527.16,0.0,951.16,0,6.23,0,0.0,False,False,False
DS_0029,Dataset_0029_TX_2021_L3,TX,2021,3,mfj,Paul Murray,Natalie Murray,4,211793.26,211166.83,176710.83,22155.47,13484.53,0.0,0.0,10.49,0,0.0,False,False,False
DS_0030,Dataset_0030_CA_2021_L2,CA,2021,2,mfj,Alyssa Christian,Christopher Christian,2,92821.34,90166.18,57549.18,5818.21,721.79,0.0,1790.17,6.45,0,0.0,False,False,False
DS_0031,Dataset_0031_NY_2023_L3,NY,2023,3,mfj,Janice Hall,Tracy Hall,0,374113.7,372680.53,323575.53,68349.92,0.0,16897.92,20541.74,18.34,0,1025.45,False,False,False
DS_0032,Dataset_0032_FL_2023_L3,FL,2023,3,mfj,Wendy Jordan,Whitney Jordan,1,286284.16,285235.96,241879.96,45171.6,0.0,12755.6,0.0,15.84,0,224.01,False,False,False
DS_0033,Dataset_0033_NY_2023_L1,NY,2023,1,mfj,Christopher Price,Jennifer Price,0,74400.0,74400.0,46700.0,5164.0,3764.0,0.0,2876.75,6.94,0,0.0,False,False,False
DS_0034,Dataset_0034_IL_2023_L1,IL,2023,1,single,Katherine Merritt,N/A,0,49200.0,49200.0,35350.0,4022.0,1882.0,0.0,2305.46,8.17,0,0.0,False,False,False
DS_0035,Dataset_0035_IL_2025_L2,IL,2025,2,mfj,Beth Brown,Lindsey Brown,2,81714.56,80140.67,44184.67,3572.94,3315.06,0.0,3447.21,4.46,0,0.0,False,False,False
DS_0036,Dataset_0036_NY_2020_L1,NY,2020,1,mfj,Andrew Long,Sherry Long,0,73555.35,73555.35,48755.35,5455.64,3364.36,0.0,2830.29,7.42,0,0.0,False,False,False
DS_0037,Dataset_0037_NY_2020_L2,NY,2020,2,single,Sheena Lowery,N/A,2,126991.31,125598.28,109254.28,19086.59,0.0,2078.59,6487.65,15.2,0,0.0,False,False,False
DS_0038,Dataset_0038_NY_2024_L3,NY,2024,3,mfj,Denise Knight,Sherry Knight,4,225285.97,223599.53,181156.53,25333.32,0.0,3421.32,11312.72,11.33,0,0.0,False,False,False
DS_0039,Dataset_0039_TX_2024_L1,TX,2024,1,single,Thomas Gill,N/A,0,57900.0,57900.0,43300.0,4964.0,1984.0,0.0,0.0,8.57,0,0.0,False,False,False
DS_0040,Dataset_0040_CA_2024_L3,CA,2024,3,single,Rodney Thomas,N/A,0,239834.04,237300.97,204498.97,48475.31,0.0,24891.31,18193.23,20.43,0,283.01,False,False,False
DS_0041,Dataset_0041_FL_2021_L1,FL,2021,1,single,Alicia Thomas,N/A,0,64100.0,64100.0,51550.0,7089.5,602.5,0.0,0.0,11.06,0,0.0,False,False,False
DS_0042,Dataset_0042_FL_2022_L3,FL,2022,3,single,Todd Morrison,N/A,0,111156.45,106552.05,80567.05,22550.54,0.0,17510.54,0.0,21.16,0,0.0,False,False,False
DS_0043,Dataset_0043_TX_2025_L3,TX,2025,3,single,Chase Mcclain,N/A,1,202055.01,195214.41,157580.41,42147.5,0.0,27843.5,0.0,21.59,0,0.0,False,False,False
DS_0044,Dataset_0044_NY_2020_L1,NY,2020,1,mfj,Julie Hicks,Jose Hicks,0,61400.0,61400.0,36600.0,3997.0,3371.0,0.0,2161.75,6.51,0,0.0,False,False,False
DS_0045,Dataset_0045_IL_2021_L1,IL,2021,1,mfj,Tiffany Washington,Joseph Washington,1,67840.45,67840.45,42740.45,1730.85,6357.15,0.0,2968.29,2.55,0,0.0,False,False,False
DS_0046,Dataset_0046_FL_2020_L3,FL,2020,3,single,Stacey Jimenez,N/A,0,258012.65,257170.57,232193.57,58190.37,0.0,16126.37,0.0,22.63,0,443.47,False,False,False
DS_0047,Dataset_0047_FL_2020_L1,FL,2020,1,mfj,Cynthia Perez,Craig Perez,0,36600.0,36600.0,11800.0,1180.0,1748.0,0.0,0.0,3.22,0,0.0,False,False,False
DS_0048,Dataset_0048_FL_2021_L3,FL,2021,3,hoh,Jack Mckinney,N/A,1,94971.57,92055.3,64999.3,11428.39,0.0,5332.39,0.0,12.41,0,0.0,False,False,False
DS_0049,Dataset_0049_FL_2021_L1,FL,2021,1,mfj,Summer Roman,Catherine Roman,1,73100.0,73100.0,48000.0,2362.0,6410.0,0.0,0.0,3.23,0,0.0,False,False,False
DS_0050,Dataset_0050_FL_2024_L2,FL,2024,2,mfj,William Mayer,Travis Mayer,3,118311.69,116946.07,83880.07,6332.85,9219.15,0.0,0.0,5.42,0,0.0,False,False,False
DS_0051,Dataset_0051_CA_2021_L3,CA,2021,3,single,Levi Thomas,N/A,1,249738.52,248855.45,223116.45,54759.35,0.0,15401.35,19227.53,22.0,0,358.21,False,False,False
DS_0052,Dataset_0052_CA_2023_L1,CA,2023,1,single,Christopher Vance,N/A,0,32000.0,32000.0,18150.0,1958.0,602.0,0.0,128.96,6.12,0,0.0,False,False,False
DS_0053,Dataset_0053_NY_2025_L1,NY,2025,1,single,Brenda Aguilar,N/A,0,54751.81,33181.04,17431.04,1853.22,4716.78,0.0,2406.35,5.59,21570.77,0.0,False,True,False
DS_0054,Dataset_0054_CA_2020_L2,CA,2020,2,hoh,David Carter,N/A,2,116284.64,114093.15,89239.15,14438.39,0.0,950.39,4490.43,12.65,0,0.0,False,False,False
DS_0055,Dataset_0055_CA_2024_L1,CA,2024,1,mfj,Robert Davies,Beth Davies,1,76924.9,76924.9,47724.9,3262.99,5881.01,0.0,1277.84,4.24,0,0.0,False,False,False
DS_0056,Dataset_0056_FL_2020_L1,FL,2020,1,mfj,Marissa Cummings,Matthew Cummings,1,75489.46,75489.46,50689.46,3687.74,5324.26,0.0,0.0,4.89,0,0.0,False,False,False
DS_0057,Dataset_0057_FL_2024_L3,FL,2024,3,hoh,Chelsea Jennings,N/A,2,146135.72,139243.89,97833.89,24666.12,0.0,19278.12,0.0,17.71,0,0.0,False,False,False
DS_0058,Dataset_0058_FL_2025_L3,FL,2025,3,mfj,Thomas Santiago,Derek Santiago,2,199255.86,195809.25,151631.25,25680.11,0.0,4208.11,0.0,13.11,0,0.0,True,False,False
DS_0059,Dataset_0059_IL_2022_L3,IL,2022,3,single,Allen Long,N/A,0,86972.13,84537.04,64693.04,14719.64,0.0,8767.64,4054.65,17.41,0,0.0,False,False,False
DS_0060,Dataset_0060_TX_2020_L1,TX,2020,1,single,Mitchell Aguirre,N/A,0,66800.0,66800.0,54400.0,7758.0,258.0,0.0,0.0,11.61,0,0.0,False,False,False
DS_0061,Dataset_0061_CA_2023_L3,CA,2023,3,mfj,Jesse Edwards,Jeffrey Edwards,0,248486.93,247634.77,207206.77,38233.94,2092.06,0.0,15251.73,15.44,0,0.0,False,False,False
DS_0062,Dataset_0062_CA_2022_L2,CA,2022,2,mfj,Melinda Holland,Travis Holland,1,125916.5,123937.44,92434.44,13527.69,1960.31,0.0,4030.68,10.91,0,0.0,False,False,False
DS_0063,Dataset_0063_CA_2024_L2,CA,2024,2,mfj,Elizabeth Holloway,Emma Holloway,1,119671.19,115899.59,76022.59,14201.91,0.0,6473.91,3474.68,12.25,0,0.0,False,False,False
DS_0064,Dataset_0064_TX_2024_L3,TX,2024,3,single,Joseph Garcia,N/A,1,133735.21,128320.35,98391.35,25528.83,0.0,19000.83,0.0,19.89,0,0.0,False,False,False
DS_0065,Dataset_0065_CA_2023_L3,CA,2023,3,single,Robert Davis,N/A,4,273899.04,272480.87,237449.87,53988.25,0.0,18062.25,21303.88,19.81,0,549.95,False,False,False
DS_0066,Dataset_0066_NY_2022_L1,NY,2022,1,single,Shane Bolton,N/A,0,60100.0,60100.0,47150.0,5990.0,1222.0,0.0,2700.5,9.97,0,0.0,False,False,False
DS_0067,Dataset_0067_CA_2025_L3,CA,2025,3,single,Amanda Herman,N/A,0,196855.1,184481.65,151254.65,40161.91,0.0,23177.91,13919.62,21.77,6866.55,0.0,False,True,False
DS_0068,Dataset_0068_FL_2022_L3,FL,2022,3,mfj,Lisa Garza,Tamara Garza,1,341873.81,341341.05,307484.05,61304.38,0.0,1758.38,0.0,17.96,0,771.68,False,False,False
DS_0069,Dataset_0069_IL_2020_L2,IL,2020,2,mfj,Sheila Anderson,Susan Anderson,3,147829.79,147000.12,118698.12,13352.93,5427.07,0.0,6626.82,9.08,0,0.0,False,False,False
DS_0070,Dataset_0070_CA_2023_L2,CA,2023,2,mfj,Blake Patrick,Rachael Patrick,2,201013.69,200688.35,168129.35,24254.14,909.86,0.0,10805.17,12.09,0,0.0,False,False,False
DS_0071,Dataset_0071_CA_2025_L1,CA,2025,1,mfj,Elizabeth Howe,Julie Howe,0,41846.67,41846.67,10346.67,1034.67,3969.33,0.0,183.22,2.47,0,0.0,False,False,False
DS_0072,Dataset_0072_FL_2025_L2,FL,2025,2,single,Jared Lewis,N/A,1,165449.98,147743.37,123057.37,26493.99,0.0,7262.99,0.0,17.93,14550.0,0.0,True,False,False
DS_0073,Dataset_0073_FL_2024_L1,FL,2024,1,mfj,Kenneth Hill,Scott Hill,0,33100.0,33100.0,3900.0,390.0,2258.0,0.0,0.0,1.18,0,0.0,False,False,False
DS_0074,Dataset_0074_NY_2020_L3,NY,2020,3,single,Donna Moreno,N/A,0,238263.53,237479.83,213374.83,51315.81,0.0,12551.81,13320.22,21.61,0,272.23,False,False,False
DS_0075,Dataset_0075_FL_2023_L1,FL,2023,1,single,Katrina Pham,N/A,0,39800.0,39800.0,25950.0,2894.0,290.0,0.0,0.0,7.27,0,0.0,False,False,False
DS_0076,Dataset_0076_NY_2023_L3,NY,2023,3,mfj,Aaron Clark,Valerie Clark,4,303886.14,302659.75,256642.75,43242.85,0.0,12918.85,16056.33,14.29,0,395.81,False,False,False
DS_0077,Dataset_0077_IL_2022_L1,IL,2022,1,mfj,Valerie Stevens,Patty Stevens,0,52300.0,52300.0,26400.0,2757.0,3519.0,0.0,2328.97,5.27,0,0.0,False,False,False
DS_0078,Dataset_0078_IL_2020_L2,IL,2020,2,mfj,William Bennett,Julia Bennett,3,216307.82,215826.01,183830.01,27241.83,0.0,1193.83,10033.7,12.62,0,0.0,False,False,False
DS_0079,Dataset_0079_IL_2024_L3,IL,2024,3,hoh,Brian Villarreal,N/A,2,100648.93,97545.16,66858.16,10275.34,0.0,3819.34,4438.67,10.53,0,0.0,False,False,False
DS_0080,Dataset_0080_NY_2020_L2,NY,2020,2,hoh,Pamela Silva,N/A,2,102465.75,98983.66,70475.66,12816.82,0.0,6636.82,4579.48,12.95,0,0.0,False,False,False
DS_0081,Dataset_0081_FL_2025_L1,FL,2025,1,mfj,Sarah Cabrera,James Cabrera,0,55600.0,55600.0,24100.0,2415.0,4257.0,0.0,0.0,4.34,0,0.0,False,False,False
DS_0082,Dataset_0082_CA_2022_L2,CA,2022,2,mfj,Alex Kelley,Seth Kelley,2,121117.94,119677.36,89699.36,9849.02,5926.98,0.0,3675.36,8.23,0,0.0,False,False,False
DS_0083,Dataset_0083_CA_2020_L3,CA,2020,3,mfj,Jonathan Hoffman,Toni Hoffman,3,239144.69,238231.67,199794.67,31935.76,0.0,8055.76,14256.43,13.41,0,0.0,False,False,False
DS_0084,Dataset_0084_TX_2022_L2,TX,2022,2,mfj,Christopher Perry,Jon Perry,1,72084.75,69755.57,37261.57,6718.76,0.0,3726.76,0.0,9.63,0,0.0,False,False,False
DS_0085,Dataset_0085_CA_2021_L1,CA,2021,1,single,Alice Austin,N/A,0,41700.0,41700.0,29150.0,3299.0,1705.0,0.0,690.49,7.91,0,0.0,False,False,False
DS_0086,Dataset_0086_CA_2020_L3,CA,2020,3,single,Olivia Patterson,N/A,0,202324.93,201747.51,180723.51,40001.87,0.0,14849.87,14886.76,19.83,0,0.0,False,False,False
DS_0087,Dataset_0087_TX_2024_L3,TX,2024,3,single,Jessica Wong,N/A,4,262792.71,260626.78,225715.78,49691.89,0.0,24795.89,0.0,19.07,0,444.49,False,False,False
DS_0088,Dataset_0088_NY_2022_L2,NY,2022,2,mfj,Christopher Hernandez,Danielle Hernandez,1,94698.56,91633.44,57056.44,10566.02,0.0,4674.02,3824.59,11.53,0,0.0,False,False,False
DS_0089,Dataset_0089_TX_2025_L1,TX,2025,1,single,David Munoz,N/A,0,89652.25,77152.25,61402.25,8422.49,5921.51,0.0,0.0,10.92,12500,0.0,False,False,False
DS_0090,Dataset_0090_FL_2022_L1,FL,2022,1,mfj,Tom Thompson,Terrance Thompson,0,27900.0,27900.0,2000.0,200.0,2032.0,0.0,0.0,0.72,0,0.0,False,False,False
DS_0091,Dataset_0091_FL_2023_L1,FL,2023,1,single,Madison Klein,N/A,0,48900.0,48900.0,35050.0,3986.0,1882.0,0.0,0.0,8.15,0,0.0,False,False,False
DS_0092,Dataset_0092_IL_2022_L1,IL,2022,1,single,Benjamin Brown,N/A,0,75200.91,75200.91,62250.91,9312.2,0.0,360.2,3592.51,12.38,0,0.0,False,False,False
DS_0093,Dataset_0093_IL_2020_L1,IL,2020,1,single,Timothy Green,N/A,1,82600.0,82600.0,70200.0,9234.0,3982.0,0.0,3828.83,11.18,0,0.0,False,False,False
DS_0094,Dataset_0094_CA_2021_L3,CA,2021,3,hoh,Gregory Orozco,N/A,3,230058.74,229237.9,198177.9,40224.7,0.0,4056.7,15158.62,17.55,0,189.09,False,False,False
DS_0095,Dataset_0095_IL_2020_L2,IL,2020,2,mfj,Jennifer Herring,Gregory Herring,2,115262.12,113879.82,85166.82,9081.29,5878.71,0.0,5117.3,7.97,0,0.0,False,False,False
DS_0096,Dataset_0096_NY_2023_L2,NY,2023,2,hoh,James Abbott,N/A,2,82047.89,78628.32,48147.32,8302.81,0.0,5774.81,3459.93,10.56,0,0.0,False,False,False
DS_0097,Dataset_0097_NY_2021_L3,NY,2021,3,mfj,Joseph Cook,Debbie Cook,4,215361.99,213089.48,170438.48,24088.48,0.0,4072.48,10682.12,11.3,0,0.0,False,False,False
DS_0098,Dataset_0098_NY_2025_L2,NY,2025,2,single,Caroline Torres,N/A,2,91747.98,88474.73,63458.73,11021.42,0.0,5765.42,4261.11,12.46,0,0.0,False,False,False
DS_0099,Dataset_0099_FL_2021_L1,FL,2021,1,single,Carol Moreno,N/A,1,47400.0,47400.0,34850.0,383.0,5305.0,0.0,0.0,0.81,0,0.0,False,False,False
DS_0100,Dataset_0100_CA_2021_L3,CA,2021,3,mfj,Paul Eaton,Gabriel Eaton,0,102824.23,100632.95,69329.95,12304.15,0.0,4180.15,2584.66,12.23,0,0.0,False,False,False
DS_0101,Dataset_0101_FL_2022_L1,FL,2022,1,mfj,Molly Jenkins,Michael Jenkins,0,77392.78,77392.78,51492.78,5768.13,3471.87,0.0,0.0,7.45,0,0.0,False,False,False
DS_0102,Dataset_0102_TX_2021_L3,TX,2021,3,hoh,Kathryn Robinson,N/A,1,160921.64,156222.09,122607.09,29943.79,0.0,16663.79,0.0,19.17,0,0.0,False,False,False
DS_0103,Dataset_0103_IL_2025_L3,IL,2025,3,mfj,Stacy Moore,Alex Moore,4,336096.89,335436.8,290877.8,48741.45,0.0,3285.45,15824.5,14.53,0.0,716.61,False,False,True
DS_0104,Dataset_0104_NY_2024_L2,NY,2024,2,single,Sarah Ho,N/A,2,80805.88,77588.3,53879.3,9341.61,0.0,6605.61,3662.36,12.04,0,0.0,False,False,False
DS_0105,Dataset_0105_NY_2022_L3,NY,2022,3,hoh,Austin Boyd,N/A,4,161820.66,157274.92,124152.92,23224.18,0.0,9064.18,7977.62,14.77,0,0.0,False,False,False
DS_0106,Dataset_0106_CA_2022_L3,CA,2022,3,mfj,Steven Thomas,David Thomas,0,87079.91,84275.76,50437.76,11249.83,0.0,5945.83,1589.19,13.35,0,0.0,False,False,False
DS_0107,Dataset_0107_IL_2023_L1,IL,2023,1,mfj,Robert Dennis,Logan Dennis,0,59000.0,59000.0,31300.0,3316.0,3764.0,0.0,2660.62,5.62,0,0.0,False,False,False
DS_0108,Dataset_0108_FL_2024_L3,FL,2024,3,hoh,John Mckinney,N/A,1,177259.9,171770.78,134331.78,32566.87,0.0,17142.87,0.0,18.96,0,0.0,False,False,False
DS_0109,Dataset_0109_IL_2021_L3,IL,2021,3,single,Stephanie Wu,N/A,1,264736.22,263289.2,229127.2,58119.66,0.0,33431.66,12772.94,22.07,0,486.85,False,False,False
DS_0110,Dataset_0110_TX_2020_L3,TX,2020,3,single,Christine Trevino,N/A,1,230018.41,229609.02,211094.02,49166.61,0.0,6002.61,0.0,21.41,0,219.91,False,False,False
DS_0111,Dataset_0111_NY_2025_L2,NY,2025,2,single,Justin Flynn,N/A,2,75478.0,74367.41,55473.41,4939.32,1948.68,0.0,3485.21,6.64,0,0.0,False,False,False
DS_0112,Dataset_0112_CA_2025_L3,CA,2025,3,mfj,Craig Wright,Michael Wright,4,221032.08,217137.16,176182.16,20625.62,20206.38,0.0,12577.65,9.5,3476.15,0.0,False,False,True
DS_0113,Dataset_0113_IL_2022_L2,IL,2022,2,single,Cody Leonard,N/A,1,111270.52,108578.56,88007.56,18362.58,0.0,9770.58,5114.76,16.91,0,0.0,False,False,False
DS_0114,Dataset_0114_CA_2020_L3,CA,2020,3,hoh,Trevor Galvan,N/A,4,251653.85,250176.31,209458.31,44492.47,0.0,22156.47,17065.63,17.78,0,373.49,False,False,False
DS_0115,Dataset_0115_FL_2021_L1,FL,2021,1,mfj,Charlotte Bowman,Frank Bowman,1,72100.0,72100.0,47000.0,1642.0,7010.0,0.0,0.0,2.28,0,0.0,False,False,False
DS_0116,Dataset_0116_CA_2025_L2,CA,2025,2,single,Taylor Caldwell,N/A,1,137140.98,120665.91,93662.91,21269.97,0.0,8431.97,8468.4,17.63,12500,0.0,False,False,False
DS_0117,Dataset_0117_FL_2025_L1,FL,2025,1,single,Carolyn Frederick,N/A,0,50840.71,38340.71,22590.71,2472.39,3628.61,0.0,0.0,6.45,12500,0.0,False,False,False
DS_0118,Dataset_0118_CA_2021_L1,CA,2021,1,mfj,Tracy Williams,Veronica Williams,1,59700.0,59700.0,34600.0,754.0,6410.0,0.0,623.98,1.26,0,0.0,False,False,False
DS_0119,Dataset_0119_NY_2020_L1,NY,2020,1,mfj,Tina Williams,Derek Williams,0,57900.0,57900.0,33100.0,3577.0,3371.0,0.0,1969.25,6.18,0,0.0,False,False,False
DS_0120,Dataset_0120_NY_2025_L1,NY,2025,1,mfj,Austin Woodard,Bethany Woodard,0,59942.86,56900.0,25400.0,2571.0,4622.0,0.0,2081.61,4.52,3042.86,0.0,False,False,False
DS_0121,Dataset_0121_IL_2022_L2,IL,2022,2,single,Marcus Li,N/A,3,114046.18,112891.09,96671.09,13346.74,2253.26,0.0,5068.36,11.82,0,0.0,False,False,False
DS_0122,Dataset_0122_IL_2025_L2,IL,2025,2,single,Timothy Mays,N/A,2,94119.34,84756.3,63922.3,8168.92,3.08,0.0,4180.19,9.64,7567.03,0.0,False,True,False
DS_0123,Dataset_0123_TX_2022_L2,TX,2022,2,single,Dominique York,N/A,3,141306.54,139209.22,120322.22,20907.47,0.0,3227.47,0.0,15.02,0,0.0,False,False,False
DS_0124,Dataset_0124_NY_2023_L1,NY,2023,1,single,Rebecca Mora,N/A,1,45927.4,45927.4,32077.4,1629.29,3818.71,0.0,1921.01,3.55,0,0.0,False,False,False
DS_0125,Dataset_0125_TX_2020_L1,TX,2020,1,mfj,Brandon Lewis,Ronald Lewis,0,32500.0,32500.0,7700.0,770.0,1830.0,0.0,0.0,2.37,0,0.0,False,False,False
DS_0126,Dataset_0126_IL_2023_L1,IL,2023,1,mfj,Tammy Kelley,Joseph Kelley,0,68991.53,68991.53,41291.53,4514.98,3741.02,0.0,3155.21,6.54,0,0.0,False,False,False
DS_0127,Dataset_0127_TX_2024_L2,TX,2024,2,hoh,Mark Johnson,N/A,3,68977.8,67608.01,41830.01,2739.58,2960.42,0.0,0.0,4.05,0,0.0,False,False,False
DS_0128,Dataset_0128_TX_2025_L1,TX,2025,1,single,Julie Gentry,N/A,0,45694.11,45694.11,29944.11,3354.79,2069.21,0.0,0.0,7.34,0,0.0,False,False,False
DS_0129,Dataset_0129_FL_2024_L2,FL,2024,2,single,Christina Vincent,N/A,2,86894.46,84351.0,62551.0,9901.14,0.0,3949.14,0.0,11.74,0,0.0,False,False,False
DS_0130,Dataset_0130_TX_2025_L2,TX,2025,2,mfj,Victor Alvarez,Henry Alvarez,3,146938.62,144559.84,106325.84,11377.24,6638.76,0.0,0.0,7.87,0,0.0,False,False,False
DS_0131,Dataset_0131_CA_2022_L3,CA,2022,3,single,Jason Mason,N/A,2,141455.83,138092.86,115622.86,24310.94,0.0,9686.94,8886.34,17.6,0,0.0,False,False,False
DS_0132,Dataset_0132_TX_2021_L3,TX,2021,3,single,Shirley Rios,N/A,0,170896.78,170335.78,152184.78,31667.34,0.0,9299.34,0.0,18.59,0,0.0,False,False,False
DS_0133,Dataset_0133_FL_2020_L1,FL,2020,1,mfj,James Dawson,Timothy Dawson,0,56000.0,56000.0,31200.0,3349.0,3371.0,0.0,0.0,5.98,0,0.0,False,False,False
DS_0134,Dataset_0134_NY_2022_L2,NY,2022,2,mfj,Michael Allen,Maria Allen,3,211789.83,211222.33,176846.33,25275.19,0.0,1403.19,10570.09,11.97,0,0.0,False,False,False
DS_0135,Dataset_0135_IL_2021_L1,IL,2021,1,single,Katherine Mclean,N/A,0,29301.19,29301.19,16751.19,1811.14,516.86,0.0,1320.47,6.18,0,0.0,False,False,False
DS_0136,Dataset_0136_FL_2020_L2,FL,2020,2,hoh,Jennifer Gomez,N/A,1,60460.98,59369.47,37629.47,4416.56,839.44,0.0,0.0,7.44,0,0.0,False,False,False
DS_0137,Dataset_0137_IL_2021_L1,IL,2021,1,single,Sydney Stewart,N/A,0,49300.0,49300.0,36750.0,4211.0,1705.0,0.0,2310.41,8.54,0,0.0,False,False,False
DS_0138,Dataset_0138_NY_2023_L2,NY,2023,2,single,Thomas Scott,N/A,3,130379.52,127488.33,105453.33,18491.18,0.0,4347.18,6601.05,14.5,0,0.0,False,False,False
